"Обнаружение лесного пожара, дата","Обнаружение лесного пожара, время","Географические координаты места обнаружения пожара, наименование","Географические координаты места обнаружения пожара, азимут, гра-дусы","Широта (градусы, минуты, секунды)","Долгота (градусы, минуты, секунды)","Скорость ветра в районе пожара, в момент обнару-жения, м/с","Площадь пожара, га (в момент обна­ ружения)","Площадь пожара, га (всего)","Площадь пожара, га (лесная)","Площадь пожара, га (покрытая лесной раститель- ностью)",Причина
17.05.2017,12:55:00,с Чебаклы,120,57.07472222222222,73.1138888888889,4.0,16,24,24,5,мн
22.05.2017,06:43:00,с Белогривка,339,56.674166666666665,72.79305555555555,3.0,6,8,8,8,мн
19.05.2017,05:10:00,д Кошкуль,308,57.09,74.76388888888889,12.0,1,47,47,38.8,с иных категорий
27.05.2017,13:00:00,д Кошкуль,308,57.09,74.76388888888889,11.0,5,35,35,35,с иных категорий
22.05.2017,08:30:00,д Бобровка,207,57.12611111111111,74.67388888888888,17.0,15,172,172,150,с иных категорий
23.05.2017,00:10:00,д Кошкуль,308,57.09,74.76388888888889,11.0,116,122.6,122.6,116.1,с иных категорий
23.05.2017,00:10:00,п Пихтовое,354,57.8,74.8,11.0,15,20,20,20,с иных категорий
13.05.2017,14:40:00,д Слобода,317,57.14111111111111,75.53111111111112,5.0,4.5,18,18,18,с иных категорий
28.06.2017,08:30:00,с Новоягодное,97,57.59638888888889,73.99361111111111,6.0,1,4,4,2,от гроз
04.05.2017,17:00:00,д Харловка,333,55.14111111111111,71.99222222222222,5.0,3.2,21.1,21.1,21.1,с иных категорий
18.05.2017,18:00:00,с Георгиевка,177,54.28333333333333,71.75,4.0,2,4,4,4,с иных категорий
21.05.2017,20:00:00,рп Полтавка,150,54.33361111111111,71.78972222222222,4.0,3,5,5,5,с иных категорий
26.04.2017,14:00:00,п Индейка,25,54.9875,74.43777777777778,3.0,3.9,3.9,3.9,3.9,с иных категорий
26.04.2017,15:40:00,д Некрасовка,11,55.73305555555555,75.00277777777778,3.0,1.8,7.3,7.3,7.3,с иных категорий
29.04.2017,10:30:00,рп Горьковское,209,55.3325,74.33666666666667,7.0,0.5,0.7,0.7,0,с иных категорий
29.04.2017,12:00:00,д Придорожное,71,55.41416666666667,74.87,11.0,0.5,0.9,0.9,0.9,с иных категорий
29.04.2017,13:00:00,с Воскресенка,346,55.1125,74.60694444444445,11.0,0.5,2.6,2.6,2.6,с иных категорий
29.04.2017,14:00:00,д Локти,342,55.240833333333335,75.04333333333334,14.0,4,8.4,8.4,8.4,с иных категорий
29.04.2017,11:00:00,рп Горьковское,302,55.393055555555556,74.29944444444445,11.0,1,7,7,7,с иных категорий
29.04.2017,14:30:00,д Епанчино,183,55.56916666666667,75.07583333333334,11.0,3,5.5,5.5,5.5,с иных категорий
01.05.2017,14:30:00,п Лесной,334,55.62361111111111,74.51944444444445,9.0,14,22.9,22.9,22.9,с иных категорий
01.05.2017,15:40:00,д Виноградовка,43,55.52055555555555,75.03416666666666,9.0,3.5,24,24,24,с иных категорий
02.05.2017,16:00:00,д Кирсаново,320,55.22666666666667,74.37861111111111,11.0,7,21,21,21,с иных категорий
02.05.2017,10:00:00,д Саратово,171,55.67027777777778,74.15722222222222,12.0,1.5,14.6,14.6,14.6,с иных категорий
02.05.2017,18:00:00,д Бещаул,211,55.80444444444444,74.48416666666667,11.0,3.5,15.1,15.1,15.1,с иных категорий
02.05.2017,16:30:00,д Кибер-Спасское,287,55.2225,74.39444444444445,11.0,8,17.1,17.1,17.1,с иных категорий
03.05.2017,00:10:00,д Илюшкинская,27,55.12388888888889,75.05833333333334,9.0,9,22.7,22.7,22.7,с иных категорий
04.05.2017,13:30:00,д Старый Ревель,155,55.14972222222222,75.03277777777778,11.0,23.9,23.9,23.9,23.9,с иных категорий
04.05.2017,15:00:00,д Соснино,304,55.46222222222222,74.34972222222223,11.0,2.5,23.2,23.2,23.2,с иных категорий
04.05.2017,15:00:00,д Николаевка,52,55.82194444444445,74.88222222222223,11.0,1.5,3.4,3.4,3.4,с иных категорий
04.05.2017,15:40:00,д Виноградовка,96,55.52305555555556,75.04416666666667,11.0,11.5,23.8,23.8,23.8,с иных категорий
05.05.2017,14:00:00,д Соснино,27,55.464166666666664,74.43055555555556,6.0,2,16.7,16.7,16.7,с иных категорий
08.05.2017,13:00:00,д Богданово,186,55.67916666666667,73.95805555555556,9.0,2.5,13.2,13.2,13.2,с иных категорий
21.04.2017,15:00:00,д Ковалево,103,55.09111111111111,75.30722222222222,12.0,0.5,4.3,4.3,4.3,с иных категорий
14.05.2017,12:00:00,с Рощино,142,55.43361111111111,74.15777777777778,12.0,12.5,118.4,118.4,118.4,с иных категорий
14.05.2017,17:20:00,п Лесной,357,55.64416666666666,74.53861111111111,12.0,3,11.1,11.1,11.1,с иных категорий
15.05.2017,15:30:00,д Камышинка,85,55.44138888888889,74.85444444444444,4.0,2,5.7,5.7,5.7,с иных категорий
19.05.2017,12:00:00,д Лаврино,216,55.34027777777778,74.68555555555555,7.0,2,17.8,17.8,17.8,с иных категорий
20.05.2017,09:30:00,д Любимовка,40,55.539722222222224,74.71583333333334,12.0,3,19.4,19.4,19.4,с иных категорий
21.05.2017,14:00:00,с Рощино,247,55.446666666666665,74.19194444444445,5.0,6,20,20,20,с иных категорий
28.05.2017,16:00:00,п Веселый,131,55.28722222222222,74.49194444444444,16.0,1,2.9,2.9,2.9,с иных категорий
22.05.2017,13:00:00,д Илюшкинская,92,55.09,75.05305555555556,7.0,2.2,4.6,4.6,4.6,с иных категорий
23.05.2017,10:45:00,д Виноградовка,158,55.50388888888889,74.66,10.0,4,24.2,24.2,24.2,с иных категорий
23.05.2017,14:10:00,д Ачаирка,97,55.53722222222222,74.83305555555556,10.0,3,19.7,19.7,17.5,с иных категорий
23.05.2017,15:00:00,д Соснино,66,55.45444444444445,74.47527777777778,10.0,3,14.4,14.4,14.4,с иных категорий
